time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2013-02-28T14:05:50.250Z,50.954,157.283,41,6.9,mww,531,20.7,,0.94,us,usc000febi,2020-07-10T18:53:04.847Z,"81 km SE of Ozernovskiy, Russia",earthquake,,,,,reviewed,us,us
2009-04-21T05:26:11.520Z,50.833,155.009,152,6.2,mwb,485,19.8,,0.79,us,usp000gwef,2020-09-21T16:04:48.935Z,"80 km WNW of Severo-Kuril’sk, Russia",earthquake,,,,,reviewed,us,us
1974-05-15T18:59:55.900Z,50.05,156.113,56,6.1,mb,,,,,us,usp00006cw,2020-07-10T20:11:43.145Z,Kuril Islands,earthquake,,,,,reviewed,us,us
1973-11-08T08:59:10.000Z,50.052,156.309,33,6.1,ms,,,,,us,usp0000431,2020-07-10T19:54:35.755Z,"70 km S of Severo-Kuril’sk, Russia",earthquake,,,,,reviewed,us,us
2006-08-20T03:01:02.410Z,49.823,156.415,26,6,mwc,659,77.6,,0.8,us,usp000erbz,2016-11-10T01:27:14.854Z,"97 km SSE of Severo-Kuril’sk, Russia",earthquake,,,,,reviewed,us,hrv
1973-11-11T02:43:06.200Z,49.975,156.356,51,6,mb,,,,,us,usp0000444,2015-05-13T18:53:08.000Z,"79 km SSE of Severo-Kuril’sk, Russia",earthquake,,,,,reviewed,us,us
1995-09-30T10:47:58.110Z,50.829,157.341,44.8,6,mw,,,,0.9,us,usp0007478,2020-09-15T18:17:29.214Z,"87 km E of Severo-Kuril’sk, Russia",earthquake,,,,,reviewed,us,hrv
1999-08-06T00:32:41.720Z,49.933,156.261,57.8,5.9,mwc,,,,0.8,us,usp0009cp6,2016-11-09T23:10:39.847Z,"83 km S of Severo-Kuril’sk, Russia",earthquake,,,,,reviewed,us,hrv
2008-08-04T04:42:14.850Z,49.852,156.38,76.9,5.8,mwc,557,52.4,,0.86,us,usp000gdtk,2016-11-10T01:59:36.590Z,"93 km S of Severo-Kuril’sk, Russia",earthquake,,4.3,,,reviewed,us,us
1978-08-14T18:46:24.100Z,49.871,156.276,86,5.8,mb,,,,,us,usp0000w2c,2016-11-09T23:14:45.513Z,"90 km S of Severo-Kuril’sk, Russia",earthquake,,,,,reviewed,us,us
